Produk ID,Harga Tematik,Harga FS (Bottom)
4163855406,61.500,59.400
6541427667,26.000,25.500
318893567,86.200,87.700
2964826306,86.200,87.700
4698131566,88.800,87.700
403501317,171.300,168.000
3368449063,171.300,168.000
5617582573,176.400,173.000
4704492998,169.300,168.000
4704407716,169.300,168.000
12783626238,175.900,175.900
12783733886,351.600,351.600
11893254001,37.600,36.800
11893292947,74.700,73.300
323365298,83.200,80.800
394492579,100.900,99.000
1077080498,86.000,84.000
988122092,117.800,115.500
618142203,165.400,161.100
988180530,200.900,197.000
1220293002,172.000,167.900
1076655206,234.500,230.000
255810306,77.500,76.000
992888348,153.500,150.500
10778684035,226.400,226.400
992993410,167.800,164.500
775619113,94.900,92.400
10778450969,266.400,266.400
868298553,188.600,184.300
7107949171,68.400,67.000
9941576901,135.600,133.000
7109044841,158.500,155.500
7109055374,144.800,142.000
685158591,25.500,25.000
1374578708,49.500,45.500
1109037450,74.400,73.000
671029366,72.900,69.600
1590043110,25.500,25.000
1590047523,49.500,45.500
1590051247,74.400,73.000
1977192597,25.500,25.000
2044927794,49.900,49.000
2200488234,74.400,73.000
2364664411,25.500,25.000
2364670330,49.900,49.000
2364675667,74.400,73.000
22346632,49.000,48.000
1637458572,93.900,93.200
1994091682,198.000,194.300
1994095988,33.700,33.200
9323405122,99.400,97.500
7899480833,211.600,207.500
7899425002,35.700,35.000
9337693122,106.100,104.000
10701152882,34.300,33.200
10701152882,34.300,33.200
10701159718,203.400,198.900
501957788,208.500,204.500
590853987,416.000,408.000
22346247,118.300,116.000
590865803,235.600,231.000
513592456,118.300,116.000
590913504,235.600,231.000
22346389,118.300,116.000
5625439238,235.600,231.000
324731608,120.300,118.000
564939392,19.500,18.900
752963400,22.000,21.600
1130710516,94.600,92.800
1922399116,26.500,26.000
2025564060,52.500,51.500
1589902503,17.500,16.900
1802261117,32.900,32.100
2105777071,51.500,50.000
6881037899,35.700,34.800
6881051716,71.300,69.600
7418718800,15.900,15.500
7418733209,31.700,31.000
10955251507,36.200,35.500
10955432595,71.300,70.000
3764753914,43.500,42.500
4292387590,85.000,82.000
8557551513,19.200,18.800
8504582859,37.500,35.500
13685200063,32.000,32.000
13685235730,64.000,64.000
6874246602,19.200,18.800
6874309844,57.000,53.300
3312298652,16.300,16.100
3611639654,48.200,48.200
7109539241,38.500,37.600
7109777840,77.000,75.200
1655303502,21.400,20.800
1862191440,99.900,99.100
2364586155,30.700,30.000
2372445822,61.000,60.500
4585543644,80.900,79.300
1584861931,108.200,108.200
2086564191,69.400,69.400
2755962534,97.600,97.600
1629151551,293.000,293.000
1609784780,51.000,51.000
2335729859,679.300,679.300
2335719896,1.198.800,1.198.800
2335709089,932.400,932.400
564943675,94.500,93.000
1928734944,67.700,67.700
1771606405,61.600,61.600
1128448039,123.200,123.200
1109018407,113.200,113.200
671089860,44.400,44.400
565273754,106.000,106.000
1418759104,112.700,112.700
757846046,85.500,89.300
757836611,89.900,93.900
1130247749,139.000,135.700
1133106415,52.200,52.200
1614547198,62.200,62.200
1043053745,66.600,64.900
12804913080,66.600,64.900
12804924879,66.600,64.900
3188674906,99.900,97.200
3188696984,,
3188637492,,
,,
519822081,78.600,77.000
22352412,78.600,77.000
501999117,76.400,74.000
524723123,153.500,150.500
4318214192,108.200,108.200
13604328827,169.200,169.200
13590401226,338.000,338.000
522060228,156.900,156.900
522066828,156.900,156.900
522068082,152.000,152.000
522058186,306.500,300.500
5445160826,216.000,216.000
1801472037,611.700,599.900
