flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
2024-07-22,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),2.040.000,12,12,"100,00%"
2024-07-22,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,152.000,12,1,"8,33%"
2024-07-23,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
2024-07-23,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,12,0,"0,00%"
2024-07-23,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,24,0,"0,00%"
2024-07-23,HiLo Active Chocolate 1000gr,0,12,0,"0,00%"
2024-07-23,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,0,12,0,"0,00%"
2024-07-23,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,102.500,12,1,"8,33%"
2024-07-23,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
2024-07-23,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
2024-07-23,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,855.000,10,5,"50,00%"
2024-07-23,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,88.000,12,1,"8,33%"
2024-07-23,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,972.000,15,6,"40,00%"
2024-07-23,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,512.000,12,4,"33,33%"
2024-07-23,HiLo Thai Tea (10 Sch),0,12,0,"0,00%"
2024-07-23,L-Men Gain Mass Chocolate 800g - 22g Whey Protein - 10 Serving ,169.200,15,1,"6,67%"
2024-07-23,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
2024-07-23,NutriSari Jeruk Peras Refill 500gr,0,12,0,"0,00%"
2024-07-23,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),322.200,30,18,"60,00%"
2024-07-23,NutriSari Sweet Mango (40 Sch),199.600,12,4,"33,33%"
2024-07-23,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,12,0,"0,00%"
2024-07-23,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,629.300,12,7,"58,33%"
2024-07-23,Tropicana Slim Beras Porang Instan 1000gr,1.718.200,15,11,"73,33%"
2024-07-23,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,0,12,0,"0,00%"
2024-07-23,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,0,12,0,"0,00%"
2024-07-23,Tropicana Slim Extra Virgin Olive Oil 500ml,0,15,0,"0,00%"
2024-07-23,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,75.000,15,3,"20,00%"
2024-07-23,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,370.500,24,13,"54,17%"
2024-07-23,Tropicana Slim Klepon Cookies (5 Sch) - Snack Bebas Gula,0,12,0,"0,00%"
2024-07-23,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,0,12,0,"0,00%"
2024-07-23,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,233.100,24,3,"12,50%"
2024-07-23,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,0,10,0,"0,00%"
2024-07-23,Tropicana Slim Santan (5 sachet/pc),18.300,12,1,"8,33%"
2024-07-23,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,99.900,12,3,"25,00%"
2024-07-23,Tropicana Slim Sweetener DIABTX (100 Sachet),0,12,0,"0,00%"
2024-07-23,Tropicana Slim Topping Kental Manis - Sugar FREE,0,12,0,"0,00%"
2024-07-23,Tropicana Slim White Coffee - Kopi Bebas Gula,183.600,36,9,"25,00%"
2024-07-23,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,15,0,"0,00%"
2024-07-23,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),0,12,0,"0,00%"
2024-07-23,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,0,12,0,"0,00%"
2024-07-24,12 Pack - Tropicana Slim Oat Drink 190 ml (RTD) - Minuman Bebas Gula,195.000,10,2,"20,00%"
2024-07-24,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,10,0,"0,00%"
2024-07-24,HiLo Active Chocolate 1000gr,580.000,10,4,"40,00%"
2024-07-24,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,195.600,12,12,"100,00%"
2024-07-24,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,410.000,10,4,"40,00%"
2024-07-24,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,1.106.000,10,7,"70,00%"
2024-07-24,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,684.000,10,4,"40,00%"
2024-07-24,HiLo Thai Tea (10 Sch),0,12,0,"0,00%"
2024-07-24,L-Men Platinum Choco Latte Box (6 Sch) - 25 gr Potein / Serving,0,10,0,"0,00%"
2024-07-24,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,115.000,20,1,"5,00%"
2024-07-24,L-Men Proteinmix Coffee (6 Sch) - 12gr Protein / Serving,62.000,10,1,"10,00%"
2024-07-24,Lokalate Kopi Berondong 500gr - Tinggi Vitamin A Lebih Rendah Gula,0,5,0,"0,00%"
2024-07-24,NutriSari 4 Rasa Summer Package (40 Sch),49.900,5,1,"20,00%"
2024-07-24,NutriSari Blewah (40 Sch),0,10,0,"0,00%"
2024-07-24,NutriSari Cocopandan (40 Sch),0,10,0,"0,00%"
2024-07-24,NutriSari Es Cincau (40 Sch),149.700,10,3,"30,00%"
2024-07-24,NutriSari Jeruk peras (40 Sch),49.900,5,1,"20,00%"
2024-07-24,NutriSari Jeruk Peras 160 sachet - Minuman Buah Vitamin C,0,10,0,"0,00%"
2024-07-24,NutriSari Jeruk Peras Refill 500gr,468.000,12,12,"100,00%"
2024-07-24,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,0,10,0,"0,00%"
2024-07-24,NutriSari Markisa (40 Sch),99.800,10,2,"20,00%"
2024-07-24,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),0,15,0,"0,00%"
2024-07-24,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,0,5,0,"0,00%"
2024-07-24,Tropicana Slim Beras Porang Instan 1000gr,468.600,10,3,"30,00%"
2024-07-24,Tropicana Slim Classic 100 sachet,162.000,10,2,"20,00%"
2024-07-24,Tropicana Slim Classic Refill 500gr - Pengganti Gula,542.500,10,5,"50,00%"
2024-07-24,Tropicana Slim French Butter Souffle Coffee 10 Sch - Kopi Susu,0,10,0,"0,00%"
2024-07-24,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,75.000,20,3,"15,00%"
2024-07-24,Tropicana Slim Korean Goguma Cookies (5 Sch) - Snack Bebas Gula,25.000,10,1,"10,00%"
2024-07-24,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,0,10,0,"0,00%"
2024-07-24,Tropicana Slim Milk Low Fat Vanilla 500gr,338.000,20,4,"20,00%"
2024-07-24,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,99.900,10,3,"30,00%"
2024-07-24,Tropicana Slim Sweetener DIABTX (100 Sachet),249.900,12,3,"25,00%"
2024-07-24,Tropicana Slim Sweetener Gula Aren (50 Sch),225.000,5,5,"100,00%"
2024-07-24,Tropicana Slim Topping Kental Manis - Sugar FREE,104.400,12,3,"25,00%"
2024-07-24,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,326.000,10,1,"10,00%"
2024-07-24,Twin Pack - Tropicana Slim Gula Buah 50 Sachet - Pemanis Alami,0,10,0,"0,00%"
2024-07-24,Twin Pack: HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium,310.000,10,1,"10,00%"
2024-07-24,Twin Pack: HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,326.000,10,1,"10,00%"
2024-07-24,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,0,10,0,"0,00%"
2024-07-24,Twin Pack: Tropicana Slim Beras Porang Instan 1000gr,0,10,0,"0,00%"
2024-07-24,Twin Pack: Tropicana Slim Gula Jawa 350ml,0,10,0,"0,00%"
2024-07-24,Twin Pack: Tropicana Slim Kecap Asin 200ml,52.200,10,1,"10,00%"
2024-07-24,Twin Pack: Tropicana Slim Low Fat Korean Strawberry 500gr Susu Kolagen,0,10,0,"0,00%"
2024-07-24,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,0,10,0,"0,00%"
2024-07-25,12 Pack - Tropicana Slim Oat Drink 190 ml (RTD) - Minuman Bebas Gula,975.000,10,10,"100,00%"
2024-07-25,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),66.400,10,2,"20,00%"
2024-07-25,HiLo Active Chocolate 1000gr,1.450.000,10,10,"100,00%"
2024-07-25,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,307.500,10,3,"30,00%"
2024-07-25,HiLo School Chocolate 500gr,171.000,10,2,"20,00%"
2024-07-25,HiLo Teen Vanilla Caramel 500gr - Susu Tinggi Kalsium,352.000,10,4,"40,00%"
2024-07-25,L-Men Gain Mass Banana 225gr,0,10,0,"0,00%"
2024-07-25,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,20,0,"0,00%"
2024-07-25,Lokalate Kopi Berondong 500gr - Tinggi Vitamin A Lebih Rendah Gula,0,5,0,"0,00%"
2024-07-25,NutriSari Blewah (40 Sch),499.000,10,10,"100,00%"
2024-07-25,NutriSari Cocopandan (40 Sch),0,10,0,"0,00%"
2024-07-25,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,249.500,10,5,"50,00%"
2024-07-25,NutriSari Less Sugar Jeruk Bali 40 sachet - Tinggi Vitamin C,0,10,0,"0,00%"
2024-07-25,NutriSari Markisa (40 Sch),49.900,10,1,"10,00%"
2024-07-25,NutriSari Milky Orange (40 Sch),499.000,10,10,"100,00%"
2024-07-25,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,110.400,5,3,"60,00%"
2024-07-25,Tropicana Slim Beras Porang Instan 1000gr,624.800,10,4,"40,00%"
2024-07-25,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,610.000,20,20,"100,00%"
2024-07-25,Tropicana Slim Classic Refill 500gr - Pengganti Gula,1.085.000,10,10,"100,00%"
2024-07-25,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,0,20,0,"0,00%"
2024-07-25,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,174.000,10,2,"20,00%"
2024-07-25,Tropicana Slim Milk Low Fat Vanilla 500gr,845.000,10,10,"100,00%"
2024-07-25,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,199.800,10,6,"60,00%"
2024-07-25,Tropicana Slim Sweetener Gula Aren (50 Sch),225.000,5,5,"100,00%"
