KD PERFORMANCE,,,,,,
Month,flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
,,HiLo School Chocolate 200ml (24 Pack) - Susu Tinggi Kalsium,171.000,15,1,"6,67%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.782.000,24,11,"45,83%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,2.106.000,30,13,"43,33%"
,,L-Men Platinum Basic Whey Protein Unflavoured 800gr - 25g Whey Protein,280.000,12,1,"8,33%"
,,L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein / serving),316.500,12,3,"25,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
,,Tropicana Slim Beras Porang Instan 1000gr,624.800,12,4,"33,33%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,732.000,45,24,"53,33%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,297.500,24,7,"29,17%"
,,Tropicana Slim Classic 100 sachet,324.000,24,4,"16,67%"
,,Tropicana Slim DIABTX (50 sch) - Pengganti Gula Diabetesi,579.800,24,13,"54,17%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,2.310.000,36,20,"55,56%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,285.000,30,10,"33,33%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,543.900,45,7,"15,56%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,144.000,12,3,"25,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,402.000,36,12,"33,33%"
,,Tropicana Slim Sweet Orange 10 Sch - Minuman Jeruk Bebas Gula,194.400,24,9,"37,50%"
,,Tropicana Slim Sweetener Gula Aren (50 Sch),315.000,10,7,"70,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,34.800,24,1,"4,17%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,Twin Pack Tropicana Slim Diabtx 100 Sch - Pengganti Gula Diabetesi,494.700,11,3,"27,27%"
,2024-07-20 Total,,14.410.300,589,179,"30,39%"
,2024-07-21,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,12,0,"0,00%"
,,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,293.300,12,1,"8,33%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),132.800,24,4,"16,67%"
,,HiLo Active Chocolate 1000gr,145.000,12,1,"8,33%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,615.000,12,6,"50,00%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,474.000,15,3,"20,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.296.000,15,8,"53,33%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,342.000,10,2,"20,00%"
,,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,352.000,12,4,"33,33%"
,,HiLo Teen Chocolate 500gr & Original 400gr - Susu Tinggi Kalsium,0,12,0,"0,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,1.134.000,15,7,"46,67%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,384.000,12,3,"25,00%"
,,L-Men Gain Mass Chocolate 800g - 22g Whey Protein - 10 Serving ,676.800,15,4,"26,67%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
,,NutriSari Jeruk Peras Refill 500gr,156.000,12,4,"33,33%"
,,NutriSari Sweet Mango (40 Sch),49.900,12,1,"8,33%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,12,0,"0,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,269.700,12,3,"25,00%"
,,Tropicana Slim Beras Porang Instan 1000gr,312.400,15,2,"13,33%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,244.000,12,8,"66,67%"
,,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,1.270.500,15,11,"73,33%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,100.000,30,4,"13,33%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,114.000,24,4,"16,67%"
,,Tropicana Slim Klepon Cookies (5 Sch) - Snack Bebas Gula,100.000,12,4,"33,33%"
,,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,543.900,24,7,"29,17%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,201.000,10,3,"30,00%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,33.300,12,1,"8,33%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),83.300,12,1,"8,33%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,139.200,12,4,"33,33%"
,,Tropicana Slim White Coffee - Kopi Bebas Gula,244.800,36,12,"33,33%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,326.000,15,1,"6,67%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),2.040.000,12,12,"100,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,1.824.000,12,12,"100,00%"
,2024-07-21 Total,,13.896.900,530,137,"25,85%"
,2024-07-22,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,12,0,"0,00%"
,,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,0,12,0,"0,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),33.200,24,1,"4,17%"
,,HiLo Active Chocolate 1000gr,0,12,0,"0,00%"
,,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,179.300,12,11,"91,67%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,615.000,12,6,"50,00%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,474.000,15,3,"20,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.296.000,15,8,"53,33%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,342.000,10,2,"20,00%"
,,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,264.000,12,3,"25,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,486.000,15,3,"20,00%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,256.000,12,2,"16,67%"
,,HiLo Thai Tea (10 Sch),216.000,12,12,"100,00%"
,,L-Men Gain Mass Chocolate 800g - 22g Whey Protein - 10 Serving ,169.200,15,1,"6,67%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
,,NutriSari Jeruk Peras Refill 500gr,39.000,12,1,"8,33%"
,,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),125.300,30,7,"23,33%"
,,NutriSari Sweet Mango (40 Sch),0,12,0,"0,00%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,12,0,"0,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,449.500,12,5,"41,67%"
,,Tropicana Slim Beras Porang Instan 1000gr,1.874.400,15,12,"80,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,244.000,12,8,"66,67%"
,,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,1.617.000,15,14,"93,33%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,175.000,30,7,"23,33%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,228.000,24,8,"33,33%"
,,Tropicana Slim Klepon Cookies (5 Sch) - Snack Bebas Gula,75.000,12,3,"25,00%"
,,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,25.000,12,1,"8,33%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,543.900,24,7,"29,17%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,670.000,10,10,"100,00%"
,,Tropicana Slim Santan (5 sachet/pc),0,12,0,"0,00%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,133.200,12,4,"33,33%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),249.900,12,3,"25,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,104.400,12,3,"25,00%"
,,Tropicana Slim White Coffee - Kopi Bebas Gula,265.200,36,13,"36,11%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),2.040.000,12,12,"100,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,152.000,12,1,"8,33%"
,2024-07-22 Total,,13.341.500,584,171,"29,28%"
,2024-07-23,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,12,0,"0,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,24,0,"0,00%"
,,HiLo Active Chocolate 1000gr,0,12,0,"0,00%"
,,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,0,12,0,"0,00%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,102.500,12,1,"8,33%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,855.000,10,5,"50,00%"
,,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,88.000,12,1,"8,33%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,972.000,15,6,"40,00%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,512.000,12,4,"33,33%"
,,HiLo Thai Tea (10 Sch),0,12,0,"0,00%"
,,L-Men Gain Mass Chocolate 800g - 22g Whey Protein - 10 Serving ,169.200,15,1,"6,67%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,12,0,"0,00%"
,,NutriSari Jeruk Peras Refill 500gr,0,12,0,"0,00%"
,,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),322.200,30,18,"60,00%"
,,NutriSari Sweet Mango (40 Sch),199.600,12,4,"33,33%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,12,0,"0,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,629.300,12,7,"58,33%"
,,Tropicana Slim Beras Porang Instan 1000gr,1.718.200,15,11,"73,33%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,0,15,0,"0,00%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,75.000,15,3,"20,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,370.500,24,13,"54,17%"
,,Tropicana Slim Klepon Cookies (5 Sch) - Snack Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,0,12,0,"0,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,233.100,24,3,"12,50%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,0,10,0,"0,00%"
,,Tropicana Slim Santan (5 sachet/pc),18.300,12,1,"8,33%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,99.900,12,3,"25,00%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),0,12,0,"0,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,0,12,0,"0,00%"
,,Tropicana Slim White Coffee - Kopi Bebas Gula,183.600,36,9,"25,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),0,12,0,"0,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,0,12,0,"0,00%"
,2024-07-23 Total,,6.548.400,557,90,"16,16%"
,2024-07-24,12 Pack - Tropicana Slim Oat Drink 190 ml (RTD) - Minuman Bebas Gula,195.000,10,2,"20,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,10,0,"0,00%"
,,HiLo Active Chocolate 1000gr,580.000,10,4,"40,00%"
,,HiLo Choco Malt Hi Calcium 10 Sch ��� Malt Cokelat Susu Berenergi Tinggi,195.600,12,12,"100,00%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,410.000,10,4,"40,00%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,1.106.000,10,7,"70,00%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,684.000,10,4,"40,00%"
,,HiLo Thai Tea (10 Sch),0,12,0,"0,00%"
,,L-Men Platinum Choco Latte Box (6 Sch) - 25 gr Potein / Serving,0,10,0,"0,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,115.000,20,1,"5,00%"
,,L-Men Proteinmix Coffee (6 Sch) - 12gr Protein / Serving,62.000,10,1,"10,00%"
,,Lokalate Kopi Berondong 500gr - Tinggi Vitamin A Lebih Rendah Gula,0,5,0,"0,00%"
,,NutriSari 4 Rasa Summer Package (40 Sch),49.900,5,1,"20,00%"
,,NutriSari Blewah (40 Sch),0,10,0,"0,00%"
,,NutriSari Cocopandan (40 Sch),0,10,0,"0,00%"
,,NutriSari Es Cincau (40 Sch),149.700,10,3,"30,00%"
,,NutriSari Jeruk peras (40 Sch),49.900,5,1,"20,00%"
,,NutriSari Jeruk Peras 160 sachet - Minuman Buah Vitamin C,0,10,0,"0,00%"
,,NutriSari Jeruk Peras Refill 500gr,468.000,12,12,"100,00%"
,,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,0,10,0,"0,00%"
,,NutriSari Markisa (40 Sch),99.800,10,2,"20,00%"
,,NutriSari Premium Jus Mangga 10 Sachet - Jus Kental Manis (JKM),0,15,0,"0,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,0,5,0,"0,00%"
,,Tropicana Slim Beras Porang Instan 1000gr,468.600,10,3,"30,00%"
,,Tropicana Slim Classic 100 sachet,162.000,10,2,"20,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,542.500,10,5,"50,00%"
,,Tropicana Slim French Butter Souffle Coffee 10 Sch - Kopi Susu,0,10,0,"0,00%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,75.000,20,3,"15,00%"
,,Tropicana Slim Korean Goguma Cookies (5 Sch) - Snack Bebas Gula,25.000,10,1,"10,00%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,0,10,0,"0,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,338.000,20,4,"20,00%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,99.900,10,3,"30,00%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),249.900,12,3,"25,00%"
,,Tropicana Slim Sweetener Gula Aren (50 Sch),225.000,5,5,"100,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,104.400,12,3,"25,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,326.000,10,1,"10,00%"
,,Twin Pack - Tropicana Slim Gula Buah 50 Sachet - Pemanis Alami,0,10,0,"0,00%"
,,Twin Pack: HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium,310.000,10,1,"10,00%"
,,Twin Pack: HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,326.000,10,1,"10,00%"
,,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Beras Porang Instan 1000gr,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Gula Jawa 350ml,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Kecap Asin 200ml,52.200,10,1,"10,00%"
,,Twin Pack: Tropicana Slim Low Fat Korean Strawberry 500gr Susu Kolagen,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,0,10,0,"0,00%"
,2024-07-24 Total,,7.469.400,470,90,"19,15%"
,2024-07-25,12 Pack - Tropicana Slim Oat Drink 190 ml (RTD) - Minuman Bebas Gula,975.000,10,10,"100,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),66.400,10,2,"20,00%"
,,HiLo Active Chocolate 1000gr,1.450.000,10,10,"100,00%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,307.500,10,3,"30,00%"
,,HiLo School Chocolate 500gr,171.000,10,2,"20,00%"
,,HiLo Teen Vanilla Caramel 500gr - Susu Tinggi Kalsium,352.000,10,4,"40,00%"
,,L-Men Gain Mass Banana 225gr,0,10,0,"0,00%"
,,L-Men Protein Bar Strongberry 12 Sachet - Snack Bar Tinggi Protein,0,20,0,"0,00%"
,,Lokalate Kopi Berondong 500gr - Tinggi Vitamin A Lebih Rendah Gula,0,5,0,"0,00%"
,,NutriSari Blewah (40 Sch),499.000,10,10,"100,00%"
,,NutriSari Cocopandan (40 Sch),0,10,0,"0,00%"
,,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,249.500,10,5,"50,00%"
,,NutriSari Less Sugar Jeruk Bali 40 sachet - Tinggi Vitamin C,0,10,0,"0,00%"
,,NutriSari Markisa (40 Sch),49.900,10,1,"10,00%"
,,NutriSari Milky Orange (40 Sch),499.000,10,10,"100,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,110.400,5,3,"60,00%"
,,Tropicana Slim Beras Porang Instan 1000gr,624.800,10,4,"40,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,610.000,20,20,"100,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,1.085.000,10,10,"100,00%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,0,20,0,"0,00%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,174.000,10,2,"20,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,845.000,10,10,"100,00%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,199.800,10,6,"60,00%"
,,Tropicana Slim Sweetener Gula Aren (50 Sch),225.000,5,5,"100,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,978.000,10,3,"30,00%"
,,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,560.000,10,1,"10,00%"
,,Twin Pack: Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,69.600,10,1,"10,00%"
,,Twin Pack: Tropicana Slim Kecap Asin 200ml,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,912.000,10,6,"60,00%"
,2024-07-25 Total,,11.012.900,305,128,"41,97%"
,2024-07-26,4 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,166.000,10,5,"50,00%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,435.000,5,3,"60,00%"
,,HiLo Gold Chocolate 750gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,HiLo Gold Plain 1000gr - Susu Tinggi Kalsium,155.500,20,1,"5,00%"
,,HiLo School Strawberry Cheesecake 500gr- Susu Tinggi Kalsium,85.500,10,1,"10,00%"
,,HiLo School Vanilla Gusset 10 Sachet (350gr) - Susu Tinggi Kalsium,49.000,10,1,"10,00%"
,,HiLo School Vanilla Vegiberi 200ml (24 Pack) - Susu Tinggi Kalsium,171.000,10,1,"10,00%"
,,HiLo School Vanilla Vegiberi 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,L-Men Gain Mass Chocolate 225gr,0,10,0,"0,00%"
,,L-Men Lose Weight Chocolate Cereal 300gr,143.600,10,1,"10,00%"
,,L-Men Platinum Basic Whey Protein Unflavoured 800gr - 25g Whey Protein,560.000,10,2,"20,00%"
,,L-Men Platinum Choco Latte Box (6 Sch) - 25 gr Potein / Serving,0,10,0,"0,00%"
,,NutriSari Lemon Tea Powder Drink Refill 400 gram - Teh Rasa Buah Lemon,373.000,10,10,"100,00%"
,,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,60.000,5,1,"20,00%"
,,Tropicana Slim Bumbu Kaldu Ayam Jamur 100gr - Rendah Garam Bebas MSG,0,20,0,"0,00%"
,,Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Snack Bebas Gula,250.000,20,10,"50,00%"
,,Tropicana Slim Korean Goguma Cookies (5 Sch) - Snack Bebas Gula,0,10,0,"0,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,338.400,10,9,"90,00%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,33.200,10,1,"10,00%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,33.500,10,1,"10,00%"
,,Tropicana Slim Skim Milk Coffee 500gr - Susu Turunkan Kolesterol,1.044.000,10,9,"90,00%"
,,Tropicana Slim Sweetener Honey (50 Sch) - Pengganti Gula,90.000,10,2,"20,00%"
,,Tropicana Slim Sweetener Jahe (50 Sch) - Pengganti Gula,315.000,10,7,"70,00%"
,,Tropicana Slim Sweetener Luo Han Guo (50 Sch) - Pemanis Alami,110.600,10,2,"20,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,174.000,10,5,"50,00%"
,,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,254.000,5,1,"20,00%"
,,Twin Pack - Tropicana Slim Gula Buah 50 Sachet - Pemanis Alami,0,10,0,"0,00%"
,,Twin Pack: L-Men Platinum Basic Whey Protein Unflavoured 800gr,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,348.000,10,5,"50,00%"
,,Twin Pack: Tropicana Slim Diabtx 50 Sch - Pengganti Gula Diabetesi,0,10,0,"0,00%"
,,Twin Pack: Tropicana Slim Kecap Manis 200ml,56.500,10,1,"10,00%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,760.000,30,5,"16,67%"
,2024-07-26 Total,,6.005.800,355,84,"23,66%"
,2024-07-27,24 Pcs- HiLo Protein Chocofit UHT 190 mL ���Susu Cokelat dengan Collagen,293.300,10,1,"10,00%"
,,HiLo Gold Chocolate 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,HiLo Gold Original (Plain) 750gr - Susu Tinggi Kalsium,243.000,10,2,"20,00%"
,,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,167.000,10,2,"20,00%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,410.000,10,4,"40,00%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),0,10,0,"0,00%"
,,HiLo School Vanilla Vegiberi 500gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,58.400,10,2,"20,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,1.296.000,10,8,"80,00%"
,,L-Men Gain Mass Chocolate 500 gr,301.000,10,2,"20,00%"
,,L-Men Hi Protein 2 Go Chocolate (24 pcs) - 12gr Protein / Serving,303.000,10,1,"10,00%"
,,L-Men Hi Protein 2 Go Chocolate (4 pcs) - 12gr Protein / Serving,50.500,10,1,"10,00%"
,,L-Men Hi Protein Whey Daily Dark Chocolate,325.000,20,5,"25,00%"
,,L-Men Hi Protein Whey Daily Popcorn Caramel 250gr,0,10,0,"0,00%"
,,L-Men Isopower Stargizing 30 Sch - Creatine & Vitamin B Rasa Starfruit,435.200,10,4,"40,00%"
,,L-Men Lose Weight Avocado Coffee 300gr,0,10,0,"0,00%"
,,L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein / serving),210.000,10,2,"20,00%"
,,NutriSari Jeruk Peras Refill 500gr,156.000,10,4,"40,00%"
,,NutriSari Less Sugar Belimbing 40 sachet - Blimbing Starfruit Vitamin ,0,10,0,"0,00%"
,,NutriSari Lychee Tea (40 Sch),0,10,0,"0,00%"
,,NutriSari Madu Kurma (40 Sch),49.900,10,1,"10,00%"
,,NutriSari Squeezed Orange 200ml (4 pcs) - Jeruk Peras Tinggi Vit C,116.500,10,5,"50,00%"
,,NutriSari Sweet Mango (40 Sch),499.000,10,10,"100,00%"
,,Triple Pack: Tropicana Slim Klepon Cookies (5 Sch),0,10,0,"0,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,368.000,10,10,"100,00%"
,,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,1.086.000,10,6,"60,00%"
,,Tropicana Slim Kecap Asin 200ml - Rendah Garam,0,10,0,"0,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,85.500,10,3,"30,00%"
,,Tropicana Slim Korean Garlic Butter Cookies (5 Sch) - Snack Bebas Gula,100.000,10,4,"40,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,422.500,10,5,"50,00%"
,,Tropicana Slim Minyak Sunflower 946ml - Pure Sunflower Oil,0,5,0,"0,00%"
,,Tropicana Slim Saus Tiram 200ml - Bebas Gula Rendah Garam,199.800,5,6,"120,00%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,67.000,10,2,"20,00%"
,,Tropicana Slim Skim Milk Plain 1kg - Susu Turunkan Kolesterol,0,10,0,"0,00%"
,,Tropicana Slim Sweet Orange 10 Sch - Minuman Jeruk Bebas Gula,129.600,10,6,"60,00%"
