KD PERFORMANCE,,,,,,
Month,flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,457.500,15,15,"100,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,170.000,15,4,"26,67%"
,,Tropicana Slim Classic 100 sachet,243.000,15,3,"20,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,651.000,15,6,"40,00%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,462.000,30,4,"13,33%"
,,Tropicana Slim Gula Buah 50 Sachet - Alami untuk Batasi Gula,0,5,0,"0,00%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,258.400,15,4,"26,67%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,0,15,0,"0,00%"
,,Tropicana Slim Madu 350ml - Bebas Gula,344.000,5,5,"100,00%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,0,5,0,"0,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,253.500,15,3,"20,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,150.400,10,4,"40,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,155.400,15,2,"13,33%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,48.000,15,1,"6,67%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,1.005.000,15,15,"100,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),0,15,0,"0,00%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,1.456.200,35,18,"51,43%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,322.000,30,1,"3,33%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,152.000,15,1,"6,67%"
,2024-07-10 Total,,10.325.000,515,126,"24,47%"
,2024-07-11,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,198.900,10,1,"10,00%"
,,HiLo Active Chocolate 1000gr,435.000,30,3,"10,00%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,435.000,15,3,"20,00%"
,,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,466.500,15,3,"20,00%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,2.370.000,45,15,"33,33%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),262.800,15,9,"60,00%"
,,HiLo School Original 400gr - Susu Tinggi Kalsium Lebih Rendah Lemak,0,5,0,"0,00%"
