Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,62400,Medan Amplas,0,0,0,0,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,62400,Bandung Nasution,0,0,0,0,0,0,0
Tropicana Slim Low Fat Milk Package: Vanilla & Korean Strawberry,4704407716,292000,Jakarta Cakung,0,0,0,0,0,0,0
Tropicana Slim Low Fat Milk Package: Vanilla & Korean Strawberry,4704407716,292000,Surabaya Osowilangun,0,0,0,0,0,0,0
Tropicana Slim Low Fat Milk Package: Vanilla & Korean Strawberry,4704407716,292000,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Low Fat Milk Package: Vanilla & Korean Strawberry,4704407716,292000,Bandung Nasution,0,0,0,0,0,0,0
HiLo School Vanilla Vegiberi 500gr & HiLo School Original 400gr,7215499453,207000,Surabaya Osowilangun,1,0,1,0,0,0,0
HiLo School Vanilla Vegiberi 500gr & HiLo School Original 400gr,7215499453,207000,Medan Amplas,0,0,0,0,0,0,0
HiLo School Vanilla Vegiberi 500gr & HiLo School Original 400gr,7215499453,207000,Bandung Nasution,0,0,0,0,0,0,0
HiLo School Vanilla Vegiberi 500gr & HiLo School Original 400gr,7215499453,207000,Jakarta Cakung,0,0,0,0,0,0,0
GIFT - HiLo Protein Chocofit UHT 190 mL (1 Tetrapack),13475823075,14100,Jakarta Cakung,5,5,0,0,0,0,0
NutriSari Milky Peach 40 Sachet - Minuman Buah Vitamin C & Vitamin D,14184860943,62000,Bandung Nasution,0,0,0,0,0,0,0
NutriSari Milky Peach 40 Sachet - Minuman Buah Vitamin C & Vitamin D,14184860943,62000,Jakarta Cakung,187,0,187,0,0,0,0
NutriSari Jeruk Peras (1 Carton / 160 Sch),827446671,248000,Jakarta Cakung,0,0,0,0,0,0,0
HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),1734284852,34400,Bandung Nasution,6,0,6,0,0,0,0
HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),1734284852,34400,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),1734284852,34400,Jakarta Cakung,98,0,98,0,0,0,0
HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),1734284852,34400,Surabaya Osowilangun,4,0,4,0,0,0,0
HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),1734284852,34400,Medan Amplas,0,0,0,0,0,0,0
NutriSari Lychee Tea (40 Sch),2067610413,62000,Jakarta Cakung,23,0,23,0,0,0,0
NutriSari Lychee Tea (40 Sch),2067610413,62000,Surabaya Osowilangun,48,0,48,0,0,0,0
NutriSari Lychee Tea (40 Sch),2067610413,62000,Medan Amplas,0,0,0,0,0,0,0
NutriSari Lychee Tea (40 Sch),2067610413,62000,Bandung Nasution,46,0,46,0,0,0,0
NutriSari Lychee Tea (40 Sch),2067610413,62000,Surabaya Rungkut,0,0,0,0,0,0,0
Spesial Promo - Tropicana Slim Strawberry Jam Near Expired,11932201223,99800,Jakarta Cakung,0,0,0,0,0,0,0
FREE Gift - Totebag HiLo Teen+,12812868486,0,Jakarta Cakung,61,61,0,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (24 Pack) -Susu Tinggi Kalsium,1551074102,206400,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (24 Pack) -Susu Tinggi Kalsium,1551074102,206400,Jakarta Cakung,10,0,10,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (24 Pack) -Susu Tinggi Kalsium,1551074102,206400,Surabaya Osowilangun,2,0,2,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (24 Pack) -Susu Tinggi Kalsium,1551074102,206400,Medan Amplas,0,0,0,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (24 Pack) -Susu Tinggi Kalsium,1551074102,206400,Bandung Nasution,3,0,3,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,1734290474,34400,Medan Amplas,0,0,0,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,1734290474,34400,Bandung Nasution,5,0,5,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,1734290474,34400,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,1734290474,34400,Jakarta Cakung,25,0,25,0,0,0,0
HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,1734290474,34400,Surabaya Osowilangun,5,0,5,0,0,0,0
HiLo Gold Biscuit Cereal 500gr - Susu Tinggi Kalsium Tinggi Serat,3764840612,89100,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Gold Biscuit Cereal 500gr - Susu Tinggi Kalsium Tinggi Serat,3764840612,89100,Jakarta Cakung,0,0,0,0,0,0,0
HiLo Gold Biscuit Cereal 500gr - Susu Tinggi Kalsium Tinggi Serat,3764840612,89100,Surabaya Osowilangun,0,0,0,0,0,0,0
